COUNTY_ID,FYEAR,YIELD
AL_HENRY,2010,70.0
AL_HOUSTON,2010,96.9
AL_PIKE,2010,76.0
AL_RUSSELL,2010,81.8
AL_DALLAS,2009,81.0
AL_MACON,2009,107.0
AL_BALDWIN,2009,124.0
AL_CONECUH,2009,72.0
AL_ESCAMBIA,2009,85.0
AL_MONROE,2009,75.0
AL_WASHINGTON,2009,83.0
AL_BLOUNT,2009,110.0
AL_CALHOUN,2009,103.0
AL_CHEROKEE,2009,83.0
AL_CULLMAN,2009,104.0
AL_DE_KALB,2009,117.0
AL_ETOWAH,2009,85.0
AL_JACKSON,2009,110.0
AL_MARSHALL,2009,77.0
AL_COLBERT,2009,126.0
AL_LAUDERDALE,2009,130.0
AL_LAWRENCE,2009,112.0
AL_LIMESTONE,2009,142.0
AL_MADISON,2009,128.0
AL_MORGAN,2009,124.0
AL_FAYETTE,2009,64.0
AL_LAMAR,2009,71.0
AL_SHELBY,2009,114.0
AL_TALLADEGA,2009,121.0
AL_TUSCALOOSA,2009,99.0
AL_BARBOUR,2009,109.0
AL_COFFEE,2009,63.0
AL_COVINGTON,2009,51.0
AL_DALE,2009,75.0
AL_GENEVA,2009,80.0
AL_HENRY,2009,61.0
AL_HOUSTON,2009,83.0
AL_PIKE,2009,86.0
AL_DE_KALB,2008,71.0
AL_JACKSON,2008,93.0
AL_LAUDERDALE,2008,99.0
AL_LAWRENCE,2008,98.0
AL_LIMESTONE,2008,122.0
AL_MADISON,2008,153.0
AL_AUTAUGA,2007,40.0
AL_DALLAS,2007,53.0
AL_ELMORE,2007,82.0
AL_HALE,2007,64.0
AL_SUMTER,2007,54.0
AL_BALDWIN,2007,105.0
AL_CONECUH,2007,36.0
AL_ESCAMBIA,2007,115.0
AL_MONROE,2007,72.0
AL_WASHINGTON,2007,73.0
AL_CALHOUN,2007,90.0
AL_CHEROKEE,2007,35.0
AL_CULLMAN,2007,48.0
AL_DE_KALB,2007,80.0
AL_ETOWAH,2007,75.0
AL_JACKSON,2007,74.0
AL_MARSHALL,2007,76.0
AL_COLBERT,2007,85.0
AL_LAUDERDALE,2007,92.0
AL_LAWRENCE,2007,73.0
AL_LIMESTONE,2007,100.0
AL_MADISON,2007,100.0
AL_MARION,2007,99.0
AL_MORGAN,2007,71.0
AL_FAYETTE,2007,67.0
AL_RANDOLPH,2007,55.0
AL_TALLADEGA,2007,80.0
AL_TALLAPOOSA,2007,79.0
AL_TUSCALOOSA,2007,69.0
AL_BARBOUR,2007,103.0
AL_COFFEE,2007,73.0
AL_COVINGTON,2007,51.0
AL_DALE,2007,51.0
AL_GENEVA,2007,83.0
AL_HENRY,2007,60.0
AL_HOUSTON,2007,74.0
AL_PIKE,2007,55.0
AL_AUTAUGA,2006,66.0
AL_DALLAS,2006,69.0
AL_ELMORE,2006,68.0
AL_BALDWIN,2006,89.0
AL_CONECUH,2006,64.0
AL_ESCAMBIA,2006,82.0
AL_WASHINGTON,2006,66.0
AL_CALHOUN,2006,61.0
AL_CHEROKEE,2006,68.0
AL_CULLMAN,2006,54.0
AL_DE_KALB,2006,58.0
AL_ETOWAH,2006,64.0
AL_JACKSON,2006,57.0
AL_MARSHALL,2006,59.0
AL_COLBERT,2006,90.0
AL_LAUDERDALE,2006,84.0
AL_LAWRENCE,2006,77.0
AL_LIMESTONE,2006,85.0
AL_MADISON,2006,90.0
AL_MARION,2006,72.0
AL_MORGAN,2006,64.0
AL_FAYETTE,2006,61.0
AL_TALLADEGA,2006,65.0
AL_TUSCALOOSA,2006,75.0
AL_BARBOUR,2006,75.0
AL_COFFEE,2006,85.0
AL_COVINGTON,2006,60.0
AL_DALE,2006,75.0
AL_GENEVA,2006,88.0
AL_HENRY,2006,86.0
AL_HOUSTON,2006,70.0
AL_PIKE,2006,63.0
AL_AUTAUGA,2005,103.0
AL_ELMORE,2005,113.0
AL_SUMTER,2005,56.0
AL_BALDWIN,2005,124.0
AL_CONECUH,2005,98.0
AL_ESCAMBIA,2005,86.0
AL_WASHINGTON,2005,99.0
AL_CHEROKEE,2005,135.0
AL_CULLMAN,2005,125.0
AL_DE_KALB,2005,129.0
AL_ETOWAH,2005,132.0
AL_JACKSON,2005,124.0
AL_MARSHALL,2005,108.0
AL_COLBERT,2005,147.0
AL_LAUDERDALE,2005,112.0
AL_LAWRENCE,2005,136.0
AL_LIMESTONE,2005,139.0
AL_MADISON,2005,143.0
AL_MARION,2005,100.0
AL_MORGAN,2005,128.0
AL_FAYETTE,2005,91.0
AL_LAMAR,2005,83.0
AL_TALLADEGA,2005,131.0
AL_TUSCALOOSA,2005,108.0
AL_BARBOUR,2005,114.0
AL_COFFEE,2005,127.0
AL_COVINGTON,2005,66.0
AL_DALE,2005,94.0
AL_GENEVA,2005,108.0
AL_HENRY,2005,112.0
AL_HOUSTON,2005,118.0
AL_PIKE,2005,106.0
AL_AUTAUGA,2004,83.0
AL_DALLAS,2004,129.0
AL_ELMORE,2004,132.0
AL_GREENE,2004,85.0
AL_BALDWIN,2004,120.0
AL_CONECUH,2004,97.0
AL_ESCAMBIA,2004,90.0
AL_MONROE,2004,105.0
AL_WASHINGTON,2004,99.0
AL_BLOUNT,2004,139.0
AL_CALHOUN,2004,144.0
AL_CHEROKEE,2004,143.0
AL_CULLMAN,2004,130.0
AL_DE_KALB,2004,136.0
AL_ETOWAH,2004,104.0
AL_JACKSON,2004,130.0
AL_MARSHALL,2004,113.0
AL_COLBERT,2004,138.0
AL_LAUDERDALE,2004,135.0
AL_LAWRENCE,2004,151.0
AL_LIMESTONE,2004,150.0
AL_MADISON,2004,137.0
AL_MARION,2004,119.0
AL_MORGAN,2004,117.0
AL_FAYETTE,2004,101.0
AL_TALLADEGA,2004,134.0
AL_TUSCALOOSA,2004,122.0
AL_BARBOUR,2004,93.0
AL_COFFEE,2004,111.0
AL_COVINGTON,2004,122.0
AL_DALE,2004,90.0
AL_GENEVA,2004,115.0
AL_HENRY,2004,106.0
AL_HOUSTON,2004,107.0
AL_PIKE,2004,116.0
AL_AUTAUGA,2003,120.0
AL_DALLAS,2003,105.0
AL_ELMORE,2003,117.0
AL_GREENE,2003,84.0
AL_HALE,2003,107.0
AL_MACON,2003,121.0
AL_MARENGO,2003,65.0
AL_MONTGOMERY,2003,107.0
AL_PERRY,2003,107.0
AL_SUMTER,2003,76.0
AL_BALDWIN,2003,120.0
AL_BUTLER,2003,178.0
AL_CONECUH,2003,120.0
AL_ESCAMBIA,2003,127.0
AL_MOBILE,2003,107.0
AL_MONROE,2003,120.0
AL_WASHINGTON,2003,117.0
AL_WILCOX,2003,95.0
AL_BLOUNT,2003,128.0
AL_CALHOUN,2003,117.0
AL_CHEROKEE,2003,132.0
AL_CULLMAN,2003,121.0
AL_DE_KALB,2003,100.0
AL_ETOWAH,2003,114.0
AL_JACKSON,2003,121.0
AL_MARSHALL,2003,116.0
AL_COLBERT,2003,161.0
AL_FRANKLIN,2003,114.0
AL_LAUDERDALE,2003,145.0
AL_LAWRENCE,2003,153.0
AL_LIMESTONE,2003,150.0
AL_MADISON,2003,125.0
AL_MORGAN,2003,126.0
AL_CHILTON,2003,77.0
AL_FAYETTE,2003,104.0
AL_LAMAR,2003,104.0
AL_SHELBY,2003,100.0
AL_TALLADEGA,2003,111.0
AL_TUSCALOOSA,2003,120.0
AL_BARBOUR,2003,115.0
AL_COFFEE,2003,123.0
AL_COVINGTON,2003,109.0
AL_DALE,2003,113.0
AL_GENEVA,2003,108.0
AL_HENRY,2003,129.0
AL_HOUSTON,2003,127.0
AL_PIKE,2003,119.0
AL_AUTAUGA,2002,52.0
AL_BULLOCK,2002,77.0
AL_DALLAS,2002,76.0
AL_ELMORE,2002,92.0
AL_GREENE,2002,50.0
AL_HALE,2002,95.0
AL_LOWNDES,2002,77.0
AL_MACON,2002,79.0
AL_MARENGO,2002,93.0
AL_MONTGOMERY,2002,68.0
AL_PERRY,2002,49.0
AL_SUMTER,2002,73.0
AL_BALDWIN,2002,94.0
AL_BUTLER,2002,40.0
AL_CONECUH,2002,53.0
AL_ESCAMBIA,2002,81.0
AL_MOBILE,2002,75.0
AL_MONROE,2002,66.0
AL_WASHINGTON,2002,39.0
AL_WILCOX,2002,53.0
AL_BLOUNT,2002,94.0
AL_CALHOUN,2002,96.0
AL_CHEROKEE,2002,78.0
AL_CLEBURNE,2002,118.0
AL_CULLMAN,2002,93.0
AL_DE_KALB,2002,84.0
AL_ETOWAH,2002,87.0
AL_JACKSON,2002,85.0
AL_MARSHALL,2002,98.0
AL_COLBERT,2002,118.0
AL_FRANKLIN,2002,69.0
AL_LAUDERDALE,2002,99.0
AL_LAWRENCE,2002,115.0
AL_LIMESTONE,2002,107.0
AL_MADISON,2002,102.0
AL_MORGAN,2002,104.0
AL_CHILTON,2002,66.0
AL_FAYETTE,2002,81.0
AL_LAMAR,2002,92.0
AL_PICKENS,2002,63.0
AL_RANDOLPH,2002,52.0
AL_SHELBY,2002,68.0
AL_TALLADEGA,2002,105.0
AL_TUSCALOOSA,2002,81.0
AL_BARBOUR,2002,88.0
AL_COFFEE,2002,88.0
AL_COVINGTON,2002,76.0
AL_CRENSHAW,2002,50.0
AL_DALE,2002,54.0
AL_GENEVA,2002,96.0
AL_HENRY,2002,73.0
AL_HOUSTON,2002,83.0
AL_PIKE,2002,78.0
AL_RUSSELL,2002,63.0
AL_AUTAUGA,2001,71.0
AL_DALLAS,2001,94.0
AL_ELMORE,2001,95.0
AL_LOWNDES,2001,84.0
AL_MONTGOMERY,2001,99.0
AL_SUMTER,2001,75.0
AL_BUTLER,2001,66.0
AL_MOBILE,2001,103.0
AL_WASHINGTON,2001,85.0
AL_BLOUNT,2001,127.0
AL_CHEROKEE,2001,119.0
AL_CULLMAN,2001,147.0
AL_DE_KALB,2001,117.0
AL_MARSHALL,2001,103.0
AL_COLBERT,2001,145.0
AL_LAUDERDALE,2001,128.0
AL_LAWRENCE,2001,138.0
AL_LIMESTONE,2001,146.0
AL_MADISON,2001,118.0
AL_MARION,2001,106.0
AL_MORGAN,2001,119.0
AL_FAYETTE,2001,107.0
AL_SHELBY,2001,50.0
AL_TUSCALOOSA,2001,117.0
AL_BARBOUR,2001,99.0
AL_DALE,2001,68.0
AL_HENRY,2001,88.0
AL_PIKE,2001,98.0
AL_RUSSELL,2001,80.0
AL_AUTAUGA,2000,31.0
AL_DALLAS,2000,48.0
AL_ELMORE,2000,33.0
AL_GREENE,2000,25.0
AL_HALE,2000,57.0
AL_LOWNDES,2000,24.0
AL_MACON,2000,40.0
AL_MARENGO,2000,59.0
AL_BALDWIN,2000,58.0
AL_BUTLER,2000,17.0
AL_CONECUH,2000,21.0
AL_ESCAMBIA,2000,38.0
AL_MOBILE,2000,68.0
AL_MONROE,2000,25.0
AL_WASHINGTON,2000,23.0
AL_WILCOX,2000,53.0
AL_BLOUNT,2000,53.0
AL_CHEROKEE,2000,47.0
AL_CULLMAN,2000,60.0
AL_DE_KALB,2000,80.0
AL_ETOWAH,2000,43.0
AL_JACKSON,2000,80.0
AL_MARSHALL,2000,70.0
AL_COLBERT,2000,99.0
AL_LAUDERDALE,2000,95.0
AL_LAWRENCE,2000,99.0
AL_LIMESTONE,2000,86.0
AL_MADISON,2000,88.0
AL_MARION,2000,55.0
AL_MORGAN,2000,78.0
AL_FAYETTE,2000,30.0
AL_LAMAR,2000,54.0
AL_RANDOLPH,2000,45.0
AL_TALLADEGA,2000,29.0
AL_TUSCALOOSA,2000,35.0
AL_COFFEE,2000,38.0
AL_COVINGTON,2000,25.0
AL_CRENSHAW,2000,18.0
AL_DALE,2000,18.0
AL_GENEVA,2000,53.0
AL_HOUSTON,2000,57.0
AL_PIKE,2000,38.0
AL_AUTAUGA,1999,76.0
AL_DALLAS,1999,81.0
AL_ELMORE,1999,100.0
AL_GREENE,1999,97.0
AL_HALE,1999,121.0
AL_LOWNDES,1999,105.0
AL_MACON,1999,108.0
AL_MARENGO,1999,61.0
AL_SUMTER,1999,75.0
AL_BALDWIN,1999,112.0
AL_BUTLER,1999,85.0
AL_CONECUH,1999,94.0
AL_ESCAMBIA,1999,123.0
AL_MOBILE,1999,89.0
AL_MONROE,1999,110.0
AL_WASHINGTON,1999,95.0
AL_WILCOX,1999,97.0
AL_BLOUNT,1999,119.0
AL_CHEROKEE,1999,107.0
AL_CLEBURNE,1999,80.0
AL_CULLMAN,1999,110.0
AL_DE_KALB,1999,101.0
AL_ETOWAH,1999,98.0
AL_JACKSON,1999,98.0
AL_MARSHALL,1999,108.0
AL_COLBERT,1999,126.0
AL_FRANKLIN,1999,81.0
AL_LAUDERDALE,1999,100.0
AL_LAWRENCE,1999,136.0
AL_LIMESTONE,1999,112.0
AL_MADISON,1999,121.0
AL_MORGAN,1999,122.0
AL_FAYETTE,1999,91.0
AL_LAMAR,1999,81.0
AL_LEE,1999,78.0
AL_PICKENS,1999,63.0
AL_RANDOLPH,1999,74.0
AL_TALLADEGA,1999,123.0
AL_TUSCALOOSA,1999,112.0
AL_BARBOUR,1999,110.0
AL_COFFEE,1999,99.0
AL_COVINGTON,1999,92.0
AL_CRENSHAW,1999,122.0
AL_DALE,1999,94.0
AL_GENEVA,1999,88.0
AL_HENRY,1999,89.0
AL_HOUSTON,1999,86.0
AL_PIKE,1999,100.0
AL_RUSSELL,1999,80.0
AL_AUTAUGA,1998,33.0
AL_DALLAS,1998,66.0
AL_ELMORE,1998,36.0
AL_HALE,1998,61.0
AL_LOWNDES,1998,34.0
AL_MACON,1998,55.0
AL_MARENGO,1998,57.0
AL_MONTGOMERY,1998,38.0
AL_PERRY,1998,55.0
AL_SUMTER,1998,26.0
AL_BALDWIN,1998,68.0
AL_BUTLER,1998,31.0
AL_CONECUH,1998,57.0
AL_ESCAMBIA,1998,50.0
AL_MOBILE,1998,58.0
AL_MONROE,1998,54.0
AL_WASHINGTON,1998,38.0
AL_WILCOX,1998,40.0
AL_BLOUNT,1998,83.0
AL_CALHOUN,1998,84.0
AL_CHEROKEE,1998,65.0
AL_CULLMAN,1998,78.0
AL_DE_KALB,1998,74.0
AL_ETOWAH,1998,77.0
AL_JACKSON,1998,69.0
AL_MARSHALL,1998,64.0
AL_COLBERT,1998,79.0
AL_LAUDERDALE,1998,61.0
AL_LAWRENCE,1998,68.0
AL_LIMESTONE,1998,71.0
AL_MADISON,1998,68.0
AL_MARION,1998,57.0
AL_MORGAN,1998,51.0
AL_FAYETTE,1998,54.0
AL_LAMAR,1998,52.0
AL_LEE,1998,25.0
AL_PICKENS,1998,27.0
AL_RANDOLPH,1998,63.0
AL_SHELBY,1998,40.0
AL_TALLADEGA,1998,65.0
AL_TUSCALOOSA,1998,60.0
AL_BARBOUR,1998,70.0
AL_COFFEE,1998,42.0
AL_COVINGTON,1998,32.0
AL_CRENSHAW,1998,52.0
AL_DALE,1998,40.0
AL_GENEVA,1998,40.0
AL_HENRY,1998,48.0
AL_HOUSTON,1998,76.0
